,index,questionText,re_diagnosis,topics,clean_answer_text
333,638,"I often get the feeling that I'm being watched, like video cameras are hidden wherever I am, even at home. I feel like people can see all that I do and are reading my thoughts. Things I read or hear on the radio seem to be about (or meant for) me, and people are talking about me when they whisper.",Anxiety Disorders,Anxiety,"It sounds like you are feeling pretty overwhelmed with worry about being continuously monitored, with no privacy even in your own mind, and as if people are constantly saying things about you in whispers on in the media. It's hard to say from a post online what is at the root of this experience, but you may be able to get insight into that, as well as develop ways of coping with the distress of feeling this way, with the help of a good therapist. There is no pill or technique that can guarantee that this experience will go away, though it might, however, there are things that you can do so that you can understand it better and so that it does not have such an impact on your ability to lead a satisfy life."
334,640,"I sleep a lot. Music changes my mood. I cry every Wednesday. My mind is like a maze that even I get lost in. I don't usually feel my true emotions, but instead, I get fake mirrored ones.",Mood Disorders,Depression,"What happens in your life on Wednesdays that you feel like crying?   Crying is natural.  Crying on Wednesdays may also be natural if some type of regular event or situation comes up for you then that you don't like, feel oppressed by and have no way of avoiding.Maybe you would qualify for a diagnosis for depression.This matters less than what you will do with a diagnosis.  Very often people feel some type of relief from hearing a professional tell them what they ""have"".Don't let yourself get talked into taking pills because now you ""have something"".  Pills change your mood.Only you can change your life.The diagnosis matters so the therapist gets paid from insurance.It is a good sign that you know whether you feel true emotions or fake ones.  This is a clear sign of knowing about yourself.Your mind feeling like a ""maze"" is a little too vague to know if you mean there are too many thoughts at once so that you have difficulty knowing which ones to examine first, or if ""maze"" means you don't know what your thoughts are and  feel lost for this reason.Depression which is addressed by a person can become quite liberating because you will remove what bothers you so much in your life that it weighs you down and depresses you."
335,641,"I am not sure if I am depressed. I don't know how to bring it up to my parents, and that makes me miserable.",Mood Disorders,Depression,"Depending on your relationship with your parents, inviting them to have a conversation might be a good first step.  If they consent then you can have the opportunity to discuss your concerns with them.  Inviting someone to a conversation and getting their agreement is a great first step. I would then make sure your location of the discussion is conducive to the conversation and once all that is considered it might be beneficial that you make a list of your concerns prior to the meeting.  this can help keep you on point."
336,642,My husband and I are separated. He says he needs some time apart. He says he needs to get back the “in love” part of a relationship but doesn’t want to lose me. Should I wait or start over new?,Mood Disorders,Relationship Dissolution ,"It's not uncommon for relationships to go cold over time. It is a matter of one or the other becoming complacent. If you and your husband have been together for quite some time it's likely that you are very comfortable and familiar with each other. While this is a good thing in some ways, it can also become boring and you run the risk of losing that ""in love"" feeling he is referring to. Couples simply become ambivalent. For some of the couples I work with in my practice, I find that helping to organize a time apart, which I call a ""Therapeutic Separation"" can do wonders for the relationship. I offer homework to be done during this time. Reading, worksheets and individual counseling helps people learn more about themselves and what they desire out of their relationship. It often times brings more appreciation for their partners. When the pair comes back together, we are able to push the reset button and begin a new chapter that is more fulfilling and exciting than before."
337,644,"When my daughter is stressed about a silly thing from school, she starts crying and freaking out. She is a bright student, always has a 4.0, but I am afraid she is stressing too much. I’m afraid it’s going to break her. I don't know if I should get her to a doctor or someone because this is not normal.",Stress-Related Disorders,"Stress,Parenting","I agree with your observation about your daughter feeling stressed.  Are you able to open this topic in conversation with her?Also, reflect on your own expectations as a parent.  It is possible that your daughter is trying to please you by getting consistently high grades.If your daughter prefers talking in confidence to a therapist, then this may help her regain a sense of balance in her life so that schoolwork feels less stressful.I wouldn't take her to a doctor because based on what you write, the problem is psychological and emotionally based.  While the stress may have physical symptoms, addressing the root cause of the problem has nothing to do directly with something being physically wrong with your daughter.Unless there is some other medical or physical problem that would explain your daughter's sense of stress,  I'd start first by bringing your areas of concern to your daughter, then possibly to a therapist."
338,645,"I am not sure if I am depressed. I don't know how to bring it up to my parents, and that makes me miserable.",Mood Disorders,Depression,"I am so sorry you are struggling!  I do think it's a good idea to share your feelings with your parents and perhaps get some help connecting with a counselor or therapist if you feel that might help.  There are lots of ways to tell them, depending on your relationship.  Maybe saying ""I wanted to tell you guys something.. sometimes I worry that I might be depressed."" Or, some folks will write a letter, or even send a text.  The most important thing is that you tell someone you trust so you don't feel so miserable. I hope this helps.  Best of luck."
339,646,"I'm transgender, I know I am, but I've only told a few friends. I know I can't tell my family because of previous conversations we've had. They just wouldn't accept it.
My gender dysphoria is getting really difficult to deal with on my own. I need some strategies for dealing with it. What should I do?",Anxiety Disorders,"Human Sexuality,LGBTQ","Hi! I am so glad you're reaching out!  Sounds like you have some solid support in some areas of your life but are still dealing with some difficult dysphoria.  I think it can depend on what kind of dysphoria you have - sometimes it's physical, social or mental.  Sometimes physical dysphoria means less time around mirrors or plans to make showering less stressful (music, audio books, distraction).  Sometimes online support networks can be a great source of ideas in this way (for social and mental dysphoria as well).  Some of my clients do things that help them feel better in their bodies that don't require anyone to know (hair removal, binders, packing, hormones,) and other things.  I recommend stopping by a website called Conversations with a Gender Therapist. There are some awesome videos there that might help you!  I hope this helps some!  Don't forget to try to connect with other trans folks (even online) - it can be a great relief to know you're not alone in how you're feeling! Best of luck!!"
340,647,"I am on the track and softball team. My school is small, so I play all four sports it offers. I feel obligated to do track because I'm not a horrible runner, and my dad wants me to. The catch is is that the days before a track meet and the morning of, I get sick and cry.",Anxiety Disorders,Anxiety,"It sounds like you are no longer committed to track emotionally.  It can be hard to talk to your dad about this, but he may think you love track and may not know you are getting so upset the days of meets.  An idea would be to first write a letter to your dad to see what feelings come out and then preparing to speak with him.  I think he will appreciate your honesty and maybe this conversation will bring you relief and also time to find something you really will enjoy."
341,649,"I'm socially awkward. I've always want to be popular. I've had the opportunity to be popular, but every time I get i,t I'm too scared. All I have to do is talk the popular people. They're really nice to me, but I'm too scared of change. I really want to work up the courage to lose my fear.",Anxiety Disorders,"Anxiety,Social Relationships","Change can be uncomfortable, but sometimes those uncomfortable moments are the opportunity for us to be the person we feel we really are.  It sounds like you like to spend the time in your head anticipating the worst, why not be in the present and encourage yourself that you can talk to people and it will be okay.  By telling yourself it will not be okay, or that it will go wrong you are hurting your confidence to do what you want.  Give yourself some credit for being awesome and tell yourself you can build new friendships...it may be the motivation you need to move past this fear."
342,650,"In middle school and high school, my friends and family thought I was gay. I tried telling them, but they wouldn’t believe me. It almost feels like they wanted me to be. Now I’m actually starting to believe them. I know I wasn’t back then, and now I’m not sure anymore.",Anxiety Disorders,LGBTQ,"Use this time to explore who you are...imagine what your life would be like if you were gay and not, ask yourself what is different? What scenario do you find yourself gravitating to?  What is important is that you are happy. My message to you is that you do not need to define yourself with your sexual preference or feel the need to label yourself, especially if you are confused and exploring what your sexual preference is."
343,651,"He is an adolescent. He has peed his pant multiple times over the last few years, all at times when he is too wrapped up in a video game or video. We have taken away games and videos for long periods of time as punishment, but after a few months of having then back, he pees his pants again.",Anxiety Disorders,Parenting,"From a behavioral standpoint you should refrain from punishing your son.  Instead of utilizing punishment when he wets himself provide contingencies prior to any accidents.  Sit down with your son and discuss the importance of utilizing the bathroom and responsibilities and inform him that if he chooses to wet his pants that his video games will not be available for use for him the next day(or your designated realistic time frame).  This way if an accident occurs, no heated words have to be exchanged because you have already laid the ground work.  Also allow him to clean up himself.  Gather cleaning supplies and and oversee cleaning operations without ridicule or negative feedback.  Since you have stated that you have an adolescent who is experiencing enuresis, you may want to check with your PCP and a licensed professional for underlying diagnosis that can be treated.   You can also call a local behavioral analyst."
344,652,"He is an adolescent. He has peed his pant multiple times over the last few years, all at times when he is too wrapped up in a video game or video. We have taken away games and videos for long periods of time as punishment, but after a few months of having then back, he pees his pants again.",Anxiety Disorders,Parenting,"Sounds as though your son is ""pissed off"" about something.Punishment will most likely result in more of the same, not less of the peeing you would like to stop from happening.""Laziness"" is more of a social judgement than it is a characteristic of its own merit.Is this your description of your son or his description of himself?First step always before addressing any of the family dynamics, emotions, and psychology of the people involved, is a medical rule out as to why your son pees at times he plays video games.If he has medical clearance that there is no physiological  problem, then talk with your son on his opinions as to why he pees, if he is aware of the urge to pee and ignores it, or that his attention gets so absorbed he doesn't notice the urge to pee.See what modifications you can create by cooperating with your son.Maybe it is as simple as each two hours, he sets a timer and when it goes off, he takes a bathroom break."
345,653,"I am on the track and softball team. My school is small, so I play all four sports it offers. I feel obligated to do track because I'm not a horrible runner, and my dad wants me to. The catch is is that the days before a track meet and the morning of, I get sick and cry.",Anxiety Disorders,Anxiety,"Does anyone notice that you get sick and cry on track meet days?Have you told anyone?From what you write, as much as you would like to please your school and dad, something within you doesn't quite want to fully follow through.Step one in life always is to know what you want and what your limits are.   It already is difficult to avoid listening to your body.Try understanding what is difficult in telling your father that you'd like doing as he wishes, only are not able to do so because you are emotionally and physically distraught on the days you have track.After finishing the season for this year with your school's track team, then expect to concentrate on taking care of your own need to not do track.Hopefully your father will understand and care about your problem.   If he does not and track is more important than your well being, then you have a different problem entirely."
346,654,"I don't speak up if I'm uncomfortable and hardly ever make plans for us when we hang out. He is a very open and straightforward person, so he is getting upset with me for my lack of proper communication. We've been together two years and have identified this as our main problem. Arguments have arised from this single issue many times.",Anxiety Disorders,"Behavioral Change,Relationships","Do you know what you're afraid may happen if you do speak up?Usually people don't talk freely because they feel afraid to do so.  Sometimes the fear of being rejected by the other, of being criticized or judged by the other person, or that what you will say stirs anger in the other person.If you are able to know what your particular reason is for not talking, then maybe you and your partner can talk about what makes talking easy or hard.Also, since speaking up is new for you, then ask your partner to be patient while you learn to do so.  Everyone does better at learning new skills when they feel supported and welcomed."
347,656,I'm having problems shutting them out and putting up walls.,Anxiety Disorders,Social Relationships,"It sounds like you would like to let other people get close to you and at the same time you are finding yourself compelled to keep people at a distance. Often times, when we have difficulty trusting others, it is because we have specific fears about what would happen if we get close or let our guard down. Such fears may be rooted in past experiences in relationships in which we were hurt and or disappointed. In working with a therapist, you can gain insight into what is underneath your compulsion to put walls around yourself and develop ways to form authentic, lasting, satisfying relationships with others."
348,657,"I am not sure if I am depressed. I don't know how to bring it up to my parents, and that makes me miserable.",Mood Disorders,Depression,"You are not alone, many people fear opening up to family members about the topic of depression or mental illness. There are many different reason why some may fear telling their parents. The most common thoughts I hear in my office are: "" My parents won't understand me"", I may cause more problems to the family"", ""I am worried that something bad may happen if I tell them"". If possible express your current concerns and worries to your parents. You can start the conversation with your parents by saying ""I have not been feeling like myself lately, and I may want to see a counselor"". I think you are doing the right thing by going on this website and asking for help. Just a helpful tip: positive self-talk can be beneficial before having difficult conversations with others. For example, tell yourself something positive before talking to your parents such as ""I feel confident in myself, and I am doing this to overcome my fear of talking to my parents"" can help to decrease the anxiety you are feeling leading up to the conversation. I would recommend if you are feeling depressed or down it would be beneficial to seek counseling to understand your current thoughts and behaviors. Best of luck and hope you decide to start counseling."
349,658,"I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?",Anxiety Disorders,"Anxiety,Depression","Thank you for asking this important question. I find that there are three steps to getting ready for treatment. Step one is expressing interest in wanting to receiving treatment for the outcome of positive behavioral change. Congratulations you did the first step! You are showing your readiness to start counseling by asking this question. Now the second step is to find a counselor who specializes in treating clients with Anxiety and Depression. The therapeutic orientations I have found to be helpful in treating clients with  Anxiety and Depression are a combination of Cognitive Behavioral Therapy with Mindfulness, and Solution Focused Brief Therapy. Receiving meditation for your symptoms if part of the treatment, and the other part is receiving counseling to increase your resilience for future events. Research has found that medication and psychotherapy treatments together shows the most effective outcome for Depression.  The third step is to increase your positive self-talk to motivate yourself to attend treatment. As counselors, we are aware of the anxieties and fears that are associated with talking to a new professional for the first time. However, remind yourself that you are doing this to improve your well being. I hope this was helpful, and good luck with your treatment journey."
350,660,"I have four children. One of them is in her 20s, and she cannot afford to go, nor can I pay for her. She went last year for two weeks by herself.",Anxiety Disorders,"Family Conflict,Parenting","Of what do you feel you'd be guilty?Family vacations are not a basic human right to existence.  They are fun, ideally.  You're not violating a basic human right.  You wrote that you don't have enough money to pay for her to come along.You may find yourself feeling more guilty toward yourself if you give more than you reasonably can afford to give.My suggestion is to tell your daughter your reason for not taking her along. Maybe this will open more dialogue between the two of you."
351,661,"I'm in my mid-twenties now, and my boyfriend of seven years and I want to start a life. My mother is 100% codependent on me and is extremely manipulative. She suffers from type 1 diabetes, which she uses to guilt me if I ever leave her. The problem is that I will feel guilty.",Mood Disorders,Family Conflict,"Focus more on your own life and less on the very heavy descriptors you wrote to describe your mom.All the words you wrote represent psychological conditions which are either lifelong or take a lot of motivation and effort to change.Since the only person who can change how your mom handles her life, is your mom, and you are the only one who can do the same for yourself, devote more energy and time to living your own life fully, despite the emotions you feel regarding her."
352,662,It's especially bad at night time. I am scared of sleeping alone.,Anxiety Disorders,"Sleep Improvement,Anxiety","Being able to know you feel anxiety and write about it, is the first step to addressing and handling it!Generally, anxiety is deep fear of not being able to handle what comes up in life.  Somehow the person was insufficiently nurtured and so felt  insecure when very young.Usually the person had to fend on at least a psychological and emotional level for themselves before reaching an age when doing so would have been reasonable.Their inner feeling of overwhelmed from when very young, hasn't faced the reality that the grown person is now capable, even if this takes some practice. Try asking yourself what you are afraid of and theorize how you would handle these situations as a grown person.Also, sometimes anxiety comes from feeling lonely.  This loneliness is reminiscent of the loneliness that the grown person now, felt when being left to take care of situations as a child which were too difficult and complex for any child to address."
353,664,"It was over 20 years ago, but the pain has resurfaced again now because I have started seeing her Facebook posts about how great her life is. I feel so angry. How can I handle this?",Mood Disorders,"Family Conflict,Marriage","First thing that you must realize is that most people only post the ""best parts"" of their lives on Facebook, some people even go so far as to make their lives seem better or more interesting and post mostly false views of their life. Facebook is watered down, candied version of our life, you put on there only what you want people to see. The questions you should ask is ""How have I grown from this?"", Is my marriage currently in a good place? I really wish there was some form of magic that could be performed to solve peoples issues and help them sort out their emotions and troubles, however there is not, the closest we can get is by using {time and insight} to heal our wounds."
354,670,"My mother has Alzheimer's and she has become so nasty and mean to everyone and she always asks for unrealistic, silly or meaningless items.  I get so frustrated and angry, but then I feel guilty because I know it probably isn’t her fault.  How can I cope with feeling like this?",Mood Disorders,"Alzheimer's,Family Conflict","Yes, certainly your mom's difficulty in having meaningful conversations with people results from the Alzheimer's disease process which weakens her brain function.Feeling a sense of guilt in relation to a parent, is pretty common for everyone.This is because as little kids and babies, we had a strong reliance on a parent and believing every word they sad and wishing to follow each action they ask or demand, was for the benefit of our own survival.One way of coping with your feeling of guilt is to examine it.Ask what it is you're feeling guilty about?Chances are that your sense of guilt is less due to what you're currently saying or doing to help your mom.Very likely, your guilt feeling is awakening the sense of obligation that you and all of us feel toward a parent simply because parents seem to have unquestionable power when we are very young.After all, you're thoughtful enough to write a question, so chances are great that you're already actively involved in caring for your mom."
355,671,"My mother has Alzheimer's and I can see that she has lost some of her intellectual abilities.  Even though I know this disease is not her fault, I’m still finding it difficult to separate my own feelings of disappointment and frustration when my mom seems to ignore my opinions and wishes, and seems",Mood Disorders,"Alzheimer's,Family Conflict","Good observation on your part, to distinguish that your feelings in relation to your mom are not necessarily connected to the way she handles her part of the relation toward you.Has your mom usually ignored your opinions and wishes in relating to you?If prior to the onset of Alzheimer's, she never examined her way of relating to you, and if both of you have never had an open conversation about your sense of feeling hurt by her attitudes and manner with you, then the relationship between you and your mom will change in ways other than rational dialogue.She may continue ignoring or overlooking your wishes because she's been stuck in this attitude for most of your life.The good news for you about this is realizing that who you are and your way of relating to your mom, has very little to do with the way she relates to you.This is a more profound disappointment because it shows that her disconnect from you has been for longer than when the Alzheimer's began.You can however, feel a little more free knowing that you're not deserving of being ignored."
356,672,"I keep feeling paralyzed and unsure during interviews. Previous jobs have fired me for lack of performance, and five employers have rejected me after extensive personality tests and interviews. I'm afraid of continuing because my depression is getting worse. I'm already humiliated working for temp agencies and doubt my self-worth as a provider for my family.",Mood Disorders,"Self-esteem,Depression","It sounds like you are feeling pretty overwhelmed and stuck between wanting to improve your work situation and worrying that you won't be able to. It is possible that the paralysis, uncertainty, and self-doubt that you describe are contributing to your difficulty in getting  and maintaining a satisfying job as employers generally like to see that a potential employee is confident and can think on his or her feet. With a competent therapist, you may be able to get more understanding of the roots of these feelings and learn how to move forward in your search for a better work life in a way that leaves you feeling confident and capable."
357,674,"We have been together over a year. We spend time together every day no matter how busy. He started to be unusually fatigued and losing weight. He also began to be distant and sexually selfish. We had a argument, and he confided he has late stage stomach cancer. He wont treat it.",Mood Disorders,"Relationships,Intimacy","Hello, and thank you for your question. I am very sorry about this life-altering situation that both you and your boyfriend are going through. To be sure, this is a devastating and lonely road for both of you. I say lonely because when things like this happen we often don't know what to say to each other, and so we suffer in silence with little support.Here are a few thoughts that I am having, and perhaps others will add things, too:1. By the sound of your main question, it seems like you have every intention to be there for your boyfriend during this difficult time. I am not sure if he is willing to talk about his health situation, but letting him know that you want to support him and also need his support may be helpful. 2. If it is possible, see if he would be willing to go to a counselor with you. There are many things that a counselor could focus on that may help your relationship, but also help you both cope with what is happening.3. If he refuses to seek support, you may want to consider going on your own. If you can't afford it, sometimes hospice organizations offer support groups and other services. It is very important not to neglect yourself. Be well,Robin J. Landwehr, DBH, LPC, NCC"
358,676,Nothing we've tried has worked so far.,Mood Disorders,"Human Sexuality,Relationships,Intimacy",Probably what you should do is decide whether you can continue having a romantic and sexual relationship with someone to whom you don't feel like having sex.Five years is long enough to know that the way you feel toward your partner is more than likely going to remain this way.Talk with your gf about your feelings because she may not wish to be in a relationship in which her partner is not sexually attracted to her.
359,677,"Any time my family and friends are in an altercation, I’m the one who steps in. I’m the one they call to fight for them. I do this even though I have a tough time trusting the people I’m fighting for. I’m only in my early 20s.",Anxiety Disorders,"Social Relationships,Family Conflict","Breaking the patterns of relating to family members, is difficult work.In the situation you describe, both you and the family members who ask for your intervention, will be affected by any change you decide to make in the way all of you handle family disagreements.Always, it is best for any two people who have a disagreement, to talk directly with each other.   A third person distracts from the content and reasons for disagreeing.Maybe knowing that by pulling yourself away from mediating family arguments, you will in the long term be doing good for your family, helps you do the actual work of separating yourself from their arguments.Definitely, the fact that you're writing about the problem, shows you feel like doing something which feels better than how you feel currently.It is very healthy for you to listen to your gut intuition telling you to pull out of the mediator role you are in currently.You may feel guilty, your family members will most likely do everything possible to persuade, convince,  and push you back into their arguments.This doesn't make them right in what they're doing, it only makes your job harder of trying to let them have their fights on their own."
360,682,"In the last ten months, I've been kicked out, moved around three times, worked many jobs, stopped school to make money, had dad and mom get sick, was cheated on while pregnant, lost my baby, had relationship issues, and was betrayed. I can't get a job. I have no friends. I feel lonely and isolated. I've been dealing with all this by myself.",Mood Disorders,Depression,"One thing that may help is to focus on small things that you do have control over. If you can hold onto that sense of having control over what you wear or what you choose to eat or where you go during the day, this may help you be able to look at what is currently most important for you and consider different choices. For example, you say you can't get a job, but I wonder if you could work with and local agencies to help you find a job, like Career Link. You say you have no friends currently. Are there any previous friends that you can get back in contact with?You mentioned that you have no friends. Is there anyone in your life that you can talk with, even if it's not someone that you consider a closest friend?"
361,683,"My daughter basically freaked out out of nowhere over me saying “calm down” when she dropped her phone. Within seconds, the situation escalated to her kicking me out on the curb, saying horrifically unspeakable things, and her calling the cops on me. She seems unable to stop herself at times.",Anxiety Disorders,Behavioral Change,"Bipolar disorder has a lot of different components. If this is a one-time event, it could be that your daughter had an intense moment of anger and the phrase of asking her to ""calm down"" may have made her feel as though you weren't understanding what she was saying. Bipolar disorder also includes feelings of depression. When this is coupled with intense anger and acting or speaking without thinking, these can be part of bipolar disorder, but that wouldn't be the whole picture of what bipolar disorder would look like. It may be helpful to track differences that you notice in your daughter's mood and any patterns related to the times of day or what seems to lead her to be upset. Patterns are very helpful in figuring out what is happening."
362,685,"My ex-boyfriend and I have been back and forth for over a year now. He's in his late 20s, divorced for like five years now with two kids. He has a lot of narcissistic behaviors. He lies and cheats, but I love him. I've tried to date other people, but I always go back to him.",Anxiety Disorders,Relationships,"There are a lot of pieces to the decision of whether to stay or leave. Can you have open conversations about your concerns? Is he able to listen to that? I'm not sure how you know for sure that he lies and cheats, but does he recognize these things as problems? Which part of you is bigger: the part of you that wants to stay or the part of you that wants to leave? Can you consider what you want, wish for, and desire while also considering the same for him? Can he do that for you?"
363,686,"My mom and dad got divorced four years ago. I had to finish out the school year with my dad, and now they are deciding which place is best for me. I can't choose. How can I choose if I love both places?",Mood Disorders,Family Conflict,"I don't know how old you are, but depending on that, you may be able to talk with them about spending some time in both places. Even parents who live in different states can do that sometimes. It's not as frequent as spending one week at one house and the next week and the other, but I know that it happens.If you can talk with both of your parents about how you would like to live in both places, maybe you can all work out some kind of agreement."
364,687,"I've tried working out and eating fruits and vegetables, but I always seem to eat the junk in the house.",Anxiety Disorders,Behavioral Change,"I know some people do better when they don't have as much junk food in the house. This is not as tempting then. Having said that, maybe you can reward yourself with different things, such as having dessert on certain days. If you are concerned about mostly eating habits, consider seeing a nutritionist. They can help you find the balance between what it is that you really want and your goals. I'm not sure how this links to happiness for you, but hopefully looking at your choices can lead you toward your goal of being healthier."
365,688,I get really mad easily at my parents and family.,Mood Disorders,"Family Conflict,Anger Management","Anger is not necessarily a bad thing. If you are angry and you can talk about your feelings, that would be very helpful. Anger usually comes along with something else, like feeling sad, worried, overwhelmed, confused, and many others. Consider looking at what you notice in addition to anger and you may have a different starting point. If you get along well with friends and don't get angry with them, look at the differences. Do you feel criticized by your parents or family? Misunderstood? There could be any number of things.I wonder if you start getting angry very slowly and it builds or if it happens quickly. Try to keep an eye on the patterns and see if you can stop and look at what else is going on as you start to get angry. Anger is a real emotion in itself. It almost always connects to something else as well."
366,689,My daughter is in later elementary school. She can't color in the lines. Her words jumble together when she writes unless there are big spaces or she skips lines.,Anxiety Disorders,Parenting,"It's hard to tell from the information that you were able to provide here, but talk with her elementary school a guidance counselor. Someone working with the school (usually a school psychologist) should be able to evaluate her to see if she needs extra help and to tell you more clearly what may be happening."
367,690,"I'm dating a guy I really love. We have our problems, but I could see myself with him long term. But there's this other guy who I've had feelings for for awhile now. He gives me butterflies when we talk, and my heart beats fast when I see he's texted me, which i never felt with my current boyfriend.",Anxiety Disorders,Relationships,"There are different types of attraction.  You said that you've never felt this sort of feeling of your heart beating faster with your current boyfriend. Depending on how long you've been together and if you're looking at different ways of making a life together and getting to know each other on a deeper level, that's a different stage in a relationship and sometimes it feels different. Some people look at it as a difference between levels of passion and compassion, but there are many different terms to try to talk about it.Perhaps with this guy that you really love, you could talk about ways to keep things new and different in the relationship. Maybe you can leave notes for each other during the day or have a small surprise at random intervals (maybe an invitation to a picnic, for example).As for the other guy who makes your heart beat faster, what do you see in him? You said you really love the other guy, which is why I'm asking.What do you look for in the person who you want to be with long-term (whoever that is)?"
368,691,"I'm starting to think that I might have depression. The thing is though, I'm not exactly sad. I can joke with my friends and stuff, but I've stopped caring about my work, and I've been starting to think that life is pointless. I really have no clue if I need help, or if I'm just tired or something.",Mood Disorders,Depression,"It is possible that you have depression, but you could also be experiencing some other changes that mean that you have feelings of being sad without actually being depressed. Your statement makes it sound like you've stopped caring about your work, but you're still going to work and doing your work. It almost sounds like you are dissatisfied with your work. Do you like what you do? When you said that life is pointless, what makes it that way? What is keeping you going? Is there something you can do each day that you can find meaning in?You mentioned that you are not sure if you need help or are just tired. It sounds like you could certainly benefit from talking with someone about more specifics.I'm curious about how long you have felt this way and if you are aware of anything that is contributing to it."
369,692,"I used to be the funny guy of the group—the class clown, if you will. I used to laugh uncontrollably all the time and be able to be social without it feeling awkward. Now I can't laugh at all, and I'm dead inside.",Mood Disorders,Depression,"If you look back to when you feel as though you were the ""funny guy,"" I wonder what is different now? It may be that responsibilities have changed or any number of other things.I don't know whether you're also saying that you feel sad or if you're saying that you feel as though you don't have any big changes in your feelings.A lot of us tend to be really busy, and sometimes we over schedule ourselves to the point that we don't have time to have positive time for ourselves. Sometimes even if we are spending time with friends, we're thinking about work and all of the other things we need to do.I wonder if it feels awkward when you're with friends that you trust in an environment that you are used to. Maybe if that is more comfortable for you, it can be a stepping stone to focusing on how you feel better in those moments.It sounds as if you may have had an experience (or more than one) where you felt misunderstood or criticized and now reacting to people feels awkward. If so, try going back to people you trust. Who do you have support from?"
370,693,"I have friends, family, I live in a good home, I go to a nice high school, and I get pretty good grades, but I don’t know why I'm so unhappy. These friends are my best friends and they’re all amazing people, and yet I'm sad all the time and feel alone.",Mood Disorders,Depression,"I wonder if you have moments where you feel happy?You say you have amazing friends. I wonder if you get along with them and feel as though you can be yourself around them.Sometimes we put a lot of pressure on ourselves to do really well at everything all the time and this can be overwhelming sometimes. Where do you have support? I hope you can tell someone that you are feeling sad so that you can talk about your feelings.Sleeping can make a big difference as far as feeling sad as well. If you're not sleeping well at night, that could be a big part of feeling sad a lot.Perhaps you could try to find a person or two who makes you feel totally safe and comfortable and try to talk with them."
371,694,"My fiancée is always letting me know how I am a horrible/evil person, or I just don’t care enough when it’s about her feeling or when she is having an off day.",Mood Disorders,"Relationships,Intimacy","One thing you could try is to have a conversation when neither of you is upset so that you learn what makes each of you feel cared for and valued. It could be that you are showing caring in a way that doesn't quite match what she is really looking for in that moment. For example, having an in-depth conversation could be something that you want, but she may just want a hug in that moment. I don't know if you heard of Gary Chapman's book about love languages, but it may be helpful."
372,695,"I no longer carry expressions on my face, and my emotions are decreasing the more I have fights with my fiancée.",Mood Disorders,"Depression,Relationships","Sometimes when we fight a lot with our partner, it becomes more uncomfortable to share emotions because it feels like it will lead to another flight or disagreement.You could try having a conversation when you're not fighting and starting it out by saying that you would like to discuss something important to you and see if your fiancée is open to that.Something else is that you could have an agreement that if one of you is having a really strong emotions in a difficult conversation and would like to break from the conversation, you could agree (ahead of time) that you'll say that you would like a ""timeout"" and will come back to discuss the issue in a certain amount of time (usually about an hour) and then try to resume the discussion. The reason this can work is it can give you a chance to calm down and then still go back to the discussion rather than not talking about it again. This only works if both of you agree to that before something starts, though."
373,696,"I stopped for a while, but I’ve started doing it again. It’s like an addiction. The more I try to stop, the more I want to do it. I’ve tried doing some of the stuff they say to do like draw, but it doesn’t work.",Mood Disorders,Depression,"I've heard people say that they cut themselves as a way to feel relief from different emotions. You're also right that when you try to focus on just not cutting, it becomes more difficult because it's what you are focused on. While that is still something to work on, it may also be helpful to find something else you can do instead. You said drawing doesn't work for you. Sometimes more physical activities, such as doing a few jumping jacks, can be helpful. If you don't exercise, it might be something to talk with your doctor about first.The more you can learn about what makes you want to cut, the easier it will be to find out what you could do to change that. Try talking to somebody about what you are feeling in addition to the urge to cut."
374,697,"When I'm sad and alone, I want to cut myself.",Mood Disorders,Depression,"Try doing something physical. If you haven't exercised before, it is a good idea to get your doctor's approval first, but this can be helpful.The more you can find out about when you want to cut, the easier it will be to figure out what else you can do. If you are feeling sad or angry or nervous, look at what is leading up to those feelings and talk to someone about that.You said you are alone. I would see if you can find someone that you can trust to talk with about what you are going through. This could be a parent, a friend, someone at school, a coworker, or any number of other people."
375,699,She works with a man and always looks at guys that check her out.,Mood Disorders,"Relationships,Intimacy","I wonder if you are having some of these thoughts related to something that has neither happened directly to you in your past or to someone that you care about. This can often change the way that we look at different situations. Try to look at what feelings, for you when you notice that someone is ""checking her out,"" and perhaps when you have felt these feelings before.If you trust your girl enough to have an open conversation, perhaps you could ask her whether she is willing to talk about something that is important to you. Then you could talk about feelings that you're having."
376,700,"I get an uncontrollable swallowing that is repetitive and then somewhat out of body feeling that lasts no more than a minute or two. It usually happens in bed at night, but I occasionally experience this during the day. I have a benign brain tumor, but the doctor said it is not associated with this.",Anxiety Disorders,"Behavioral Change,Sleep Improvement","I'm not entirely sure whether this relates to something in the mental health realm or if there is something else happening. I know you said that your doctor said it is not related to your physical condition, but have you tried speaking with your primary care physician? I've seen people with many different symptoms that end up being related to acid reflux or something of that nature. As far as the out of body experience, there are different stages of sleep, so if this is happening in the middle of the night and you are waking up from a dream, you may not be fully awake when it's going on. These are just some thoughts, but I think talking to your primary care physician would be a great place to start."
